0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,64
0,57
100,50
92,42
85,100
78,100
71,100
64,100
57,100
50,92
42,85
35,78
28,71
21,64
14,57
7,50
0,42
50,35
42,28
35,21
28,14
21,7
14,0
7,0
100,0
92,57
85,50
78,42
71,35
64,28
57,21
50,14
42,7
35,100
28,92
21,85
14,78
7,71
0,64
100,57
100,50
100,42
100,35
92,28
100,21
92,14
85,7
100,0
92,0
100,0
100,0
100,7
100,0
100,42
92,35
100,28
92,21
85,14
78,7
71,0
64,0
57,0
50,7
42,0
35,100
28,100
21,100
14,100
7,100
0,92
0,85
0,78
21,71
14,64
7,57
0,50
7,100
0,92
57,85
50,78
42,71
35,64
28,57
21,50
100,42
92,35
85,28
78,21
71,14
64,7
57,100
50,100
42,92
35,85
28,78
21,71
100,64
100,57
92,50
100,42
100,35
92,28
100,21
100,14
92,7
100,0
92,0
85,0
78,7
71,0
64,0
57,0
50,0
42,0
35,50
28,42
21,100
14,100
7,100
0,100
0,100
0,100
14,92
7,85
0,78
7,71
0,64
0,100
0,92
0,100
0,100
0,92
0,100
50,92
42,85
35,78
28,100
21,100
14,92
7,85
0,78
0,71
0,64
0,57
35,100
28,100
21,100
14,92
7,85
0,100
0,100
78,92
71,85
64,78
57,71
50,64
42,57
35,50
28,42
21,35
14,28
7,21
100,14
100,7
92,0
85,42
78,100
71,100
64,100
57,100
50,92
42,85
35,78
28,71
21,64
14,57
7,50
0,42
0,35
0,28
0,100
78,92
71,85
64,78
57,71
