close,macd,EMA26,EMA12,macd_signal,buy,sell
126911,273.6851981,126800.474,126922.8775,283.3544994,,375.0534219
126941,274.0943216,126810.8833,126925.6656,278.3845902,,
127126,258.5049533,126834.2253,126956.4863,271.8188644,,
126976,245.5559615,126844.7271,126959.4884,265.9992203,,
127037,242.7206436,126858.9695,126971.4132,259.7351887,,
126996,234.6790624,126869.1199,126975.1958,252.3181793,,
127046,222.6501419,126882.2222,126986.0888,245.2799828,,
126923,217.1271969,126885.2428,126976.3828,241.74668,,
127184,227.6134685,126907.3729,127008.3239,243.677457,,
127302,251.4005649,126936.6046,127053.5049,246.6487733,359.6735647,
127261,258.5340385,126960.6338,127085.4272,248.9913928,,
127138,258.3618707,126973.7721,127093.5153,251.3938111,,
127073,261.0034843,126981.1223,127090.3591,249.8117171,,363.1326894
127067,243.4833412,126987.4836,127086.7654,245.6879378,,
127005,229.1928207,126988.7811,127074.1861,240.2768549,,
126959,218.6325232,126986.5751,127056.4652,234.4764148,,
126995,211.2746545,126987.1992,127047.009,229.1702437,,
127031,207.9455591,126990.4437,127044.5461,223.2071965,,
127002,199.3550078,126991.2997,127038.0005,221.226604,,
126911,213.304234,126985.3516,127018.462,223.8260732,,
127014,234.2239498,126987.4737,127017.7755,229.395122,,
126927,251.6713175,126982.9942,127003.8101,235.0967092,,
127070,257.9030577,126989.439,127013.9931,239.515595,,
127058,257.1911385,126994.5176,127020.7634,242.4760357,,
127006,254.3177985,126995.3682,127018.4921,243.6504055,,
127047,248.3478848,126999.1927,127022.8779,239.3664725,,
127050,222.2307401,127002.9562,127027.0506,230.8252874,,
126854,196.6605471,126991.9225,127000.4274,217.5066155,,
126846,164.231928,126981.1134,126976.6693,201.6785738,,
126937,138.3664068,126977.8457,126970.5664,181.2608789,,
126863,99.59009925,126969.3386,126954.0177,158.5233925,,
126789,67.57344689,126955.9802,126928.6304,136.4502847,,
126834,48.15785376,126946.9446,126914.0718,115.7468301,,
127015,32.93301181,126951.9858,126929.5992,95.18716415,,
127207,12.94850017,126970.8757,126972.2763,78.14254549,243.677457,
127063,9.964070828,126977.6997,126986.2338,66.22960021,,
126992,18.57781911,126978.759,126987.1209,59.07102148,,
127028,30.43670658,126982.4065,126993.41,55.71877231,,
126784,42.3097756,126967.7097,126961.1931,54.31780196,,249.8117171
126776,48.71392055,126953.509,126932.7018,54.1966178,,
126781,53.71188118,126940.7306,126909.3631,53.54331244,,
126788,50.930091,126929.4172,126890.6918,52.1450484,,
126813,46.55199225,126920.7937,126878.7392,50.30952257,,
126732,42.96741924,126906.809,126856.164,51.20826586,,
126984,54.80323903,126912.5268,126875.8311,54.25867786,,
127104,66.46032588,126926.71,126910.934,58.0824021,223.8260732,
127115,73.37729904,126940.6574,126942.3287,62.64375096,,
127022,80.88914641,126946.6828,126954.5859,68.47756022,,
126953,91.81279723,126947.1507,126954.3419,80.27438129,,
126925,127.4616656,126945.5099,126949.8277,96.21530944,,
126879,159.9790221,126940.5833,126938.9312,113.2315032,,
126610,181.2962783,126916.0956,126888.3264,129.5436379,,239.3664725
126542,194.7921768,126888.3848,126835.0454,144.5148291,,
126379,204.3995938,126850.6526,126764.8846,157.7022899,,
126361,210.4521331,126814.3821,126702.7485,169.0993467,,
